Datetime,Water Level (m)
2024-03-31 06:00:00,-0.37658256
2024-03-31 07:00:00,0.25444716
2024-03-31 08:00:00,0.7439183
2024-03-31 09:00:00,1.0840806
2024-03-31 10:00:00,1.1574225
2024-03-31 11:00:00,0.86789155
2024-03-31 12:00:00,0.25174692
2024-03-31 13:00:00,-0.29901567
2024-03-31 14:00:00,-0.7153738
2024-03-31 15:00:00,-1.0187265
2024-03-31 16:00:00,-1.1371955
2024-03-31 17:00:00,-0.98210675
2024-03-31 18:00:00,-0.3748794
2024-03-31 19:00:00,0.21519087
2024-03-31 20:00:00,0.60815126
2024-03-31 21:00:00,0.81293786
2024-03-31 22:00:00,0.74220717
2024-03-31 23:00:00,0.31727207
2024-04-01 00:00:00,-0.20772551
2024-04-01 01:00:00,-0.6258941
2024-04-01 02:00:00,-0.9465699
2024-04-01 03:00:00,-1.182438
2024-04-01 04:00:00,-1.2895808
2024-04-01 05:00:00,-1.1943313
2024-04-01 06:00:00,-0.70041054
2024-04-01 07:00:00,-0.08047623
2024-04-01 08:00:00,0.4154006
2024-04-01 09:00:00,0.808939
2024-04-01 10:00:00,1.0027434
2024-04-01 11:00:00,0.93278104
2024-04-01 12:00:00,0.5806499
2024-04-01 13:00:00,0.07460637
2024-04-01 14:00:00,-0.34590948
2024-04-01 15:00:00,-0.6320319
2024-04-01 16:00:00,-0.7801421
2024-04-01 17:00:00,-0.7845399
2024-04-01 18:00:00,-0.5889179
2024-04-01 19:00:00,-0.19624221
2024-04-01 20:00:00,0.17428675
2024-04-01 21:00:00,0.4437968
2024-04-01 22:00:00,0.566289
2024-04-01 23:00:00,0.4936659
2024-04-02 00:00:00,0.20795602
2024-04-02 01:00:00,-0.17753564
2024-04-02 02:00:00,-0.53608596
2024-04-02 03:00:00,-0.81035674
2024-04-02 04:00:00,-0.9819405
2024-04-02 05:00:00,-1.0725241
2024-04-02 06:00:00,-0.94791967
2024-04-02 07:00:00,-0.51115465
2024-04-02 08:00:00,-0.0100220265
2024-04-02 09:00:00,0.3908619
2024-04-02 10:00:00,0.7166216
2024-04-02 11:00:00,0.8756432
2024-04-02 12:00:00,0.89260453
2024-04-02 13:00:00,0.67053425
2024-04-02 14:00:00,0.28648108
2024-04-02 15:00:00,-0.08719371
2024-04-02 16:00:00,-0.3762193
2024-04-02 17:00:00,-0.56619626
2024-04-02 18:00:00,-0.6690098
2024-04-02 19:00:00,-0.7025631
2024-04-02 20:00:00,-0.57985264
2024-04-02 21:00:00,-0.28388652
2024-04-02 22:00:00,0.034644686
2024-04-02 23:00:00,0.2844013
2024-04-03 00:00:00,0.40709615
2024-04-03 01:00:00,0.36875558
2024-04-03 02:00:00,0.123131
2024-04-03 03:00:00,-0.2326921
